"twt_id","srvy_tp","subm_dt","both","new","newboth","st_ct","hhs","ppl","wp_prblm_taste_rcd","wp_prblm_smell_rcd","wp_prblm_color_rcd","wp_prblm_cloudy_rcd","ho_diar_rcd","ho_typh_rcd","ho_malr_rcd","ho_dysn_rcd","ho_resp_rcd","ho_skin_rcd","ho_eyin_rcd","ho_wrms_rcd","ho_othr_1_rcd","ho_othr_2_rcd","ho_dk_rcd","ft_lt_30M","ft_30_60M","ft_gt_120M","ft_gt_60M","ft_gt_180M","ftch_tm_NA","sf_NoBush","sf_ImpLatr","sf_Pit","sf_Latr","sf_NoNghbr","san_fac_NA","wp_prblm_taste_rcd_na","wp_prblm_smell_rcd_na","wp_prblm_color_rcd_na","wp_prblm_cloudy_rcd_na","ho_diar_rcd_na","ho_typh_rcd_na","ho_malr_rcd_na","ho_dysn_rcd_na","ho_resp_rcd_na","ho_skin_rcd_na","ho_eyin_rcd_na","ho_wrms_rcd_na","ho_othr_1_rcd_na","ho_othr_2_rcd_na","ho_dk_rcd_na","fnct_wp","fnct_wp_na","fnct_wp_tt","strd_fees_sum","strd_fees_none","fnct_wq","fnct_wq_na","fnct_wq_tt","tst_rslt_elec_amt","tst_rslt_elec_amt_na","tst_rslt_elec_amt_tt","tst_rslt_temp_amt","tst_rslt_temp_amt_na","tst_rslt_temp_amt_tt","tst_rslt_trbd_amt","tst_rslt_trbd_amt_na","tst_rslt_trbd_amt_tt","tst_rslt_nitrite_amt","tst_rslt_nitrite_amt_na","tst_rslt_nitrite_amt_tt","tst_rslt_nitrate_amt","tst_rslt_nitrate_amt_na","tst_rslt_nitrate_amt_tt","tst_rslt_fl_amt","tst_rslt_fl_amt_na","tst_rslt_fl_amt_tt","tst_rslt_arsnc_amt","tst_rslt_arsnc_amt_na","tst_rslt_arsnc_amt_tt","tst_rslt_ecoli_amt","tst_rslt_ecoli_amt_na","tst_rslt_ecoli_amt_tt","tst_rslt_fcoli_amt","tst_rslt_fcoli_amt_na","tst_rslt_fcoli_amt_tt","ecoli_risk_l","ecoli_risk_i","ecoli_risk_h","ecoli_risk_v"
"826987","m",2015-10-14,"1","0","01",1,11,73,0,0,0,0,0,0,10,0,2,0,0,0,0,0,0,6,5,0,0,0,0,0,1,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,2,0,2,125000,0,2,0,2,70,1,1,46.9,0,2,0,0,2,NA,2,0,NA,2,0,NA,2,0,NA,2,0,0,1,1,28,1,1,1,0,0,0
"826994","b",2012-04-06,"1","0","01",1,50,290,0,0,0,0,4,0,10,0,0,3,0,0,0,0,0,0,0,18,30,2,0,17,1,32,0,0,0,50,50,50,50,35,35,35,35,35,35,35,35,35,50,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"826994","m",2016-11-30,"1","0","01",1,22,161,0,0,0,0,0,0,21,0,1,0,1,0,0,0,1,14,8,0,0,0,0,0,4,4,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,21,2,0,2,34000,0,3,0,4,405.7,1,3,28.2,3,1,45,0,4,NA,4,0,NA,4,0,NA,4,0,NA,4,0,1020.5,1,3,80,3,1,0,0,0,1
"827005","b",2012-08-15,"1","0","01",1,55,302,0,30,4,0,4,0,22,0,0,8,0,0,0,0,0,2,18,13,22,0,0,9,13,33,0,0,0,21,21,21,21,23,23,23,23,23,23,23,23,23,55,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"827005","m",2016-11-24,"1","0","01",1,26,120,2,0,0,1,2,3,25,0,0,5,3,2,0,0,0,17,5,0,4,0,0,0,9,7,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,26,2,0,3,1e+05,0,2,0,2,26.3,1,1,NA,2,0,0,0,2,NA,2,0,NA,2,0,NA,2,0,NA,2,0,0,1,1,90,1,1,1,0,0,0
"827012","b",2012-05-09,"1","0","01",1,71,372,0,0,71,0,21,0,0,0,0,6,0,0,0,0,0,0,66,0,5,0,0,26,10,25,10,0,0,0,0,0,0,44,44,44,44,44,44,44,44,44,71,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"827012","m",2015-10-01,"1","0","01",1,15,88,0,0,0,0,2,3,11,0,1,3,4,1,0,0,0,3,12,0,0,0,0,0,1,1,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,1.5,0,2,0,1,1,0,2,70,1,1,NA,2,0,0,0,2,NA,2,0,NA,2,0,NA,2,0,NA,2,0,0,1,1,128,1,1,1,0,0,0
"827029","b",2012-08-31,"1","0","01",1,37,226,0,0,37,0,11,0,18,0,0,11,0,0,0,0,0,9,21,0,7,0,0,8,11,18,0,0,0,0,0,0,0,7,7,7,7,7,7,7,7,7,37,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"827029","m",2016-11-18,"1","0","01",1,27,153,9,11,11,11,5,3,26,1,4,15,1,1,0,0,1,21,4,0,2,0,0,0,2,5,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,26,2,0,3,350000,0,1,0,1,107,0,1,23,0,1,0,0,1,NA,1,0,NA,1,0,NA,1,0,NA,1,0,NA,1,0,35,0,1,NA,NA,NA,NA
"827036","b",2012-09-18,"1","0","01",1,30,141,30,0,0,0,6,0,13,0,0,7,0,0,0,0,0,0,7,0,23,0,0,5,3,22,0,0,0,0,0,0,0,9,9,9,9,9,9,9,9,9,30,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
