"twt_id","srvy_tp","subm_dt","both","new","newboth","st_ct","hhs","ppl","wp_prblm_taste_rcd","wp_prblm_smell_rcd","wp_prblm_color_rcd","wp_prblm_cloudy_rcd","ho_diar_rcd","ho_typh_rcd","ho_malr_rcd","ho_dysn_rcd","ho_resp_rcd","ho_skin_rcd","ho_eyin_rcd","ho_wrms_rcd","ho_dk_rcd","ft_lt_30M","ft_30_60M","ft_gt_120M","ft_gt_60M","ft_gt_180M","ftch_tm_NA","sf_NoBush","sf_ImpLatr","sf_Pit","sf_Latr","sf_.NoNghbr","func_wp","func_wq","strd_fees","ecoli_risk_l","ecoli_risk_i","ecoli_risk_h","ecoli_risk_v"
826028,"m","2016-09-27",0,0,"00",1,12,69,0,0,0,0,0.416666666666667,0,0.75,0,0,0,0,0,0,0.583333333333333,0.416666666666667,0,0,0,0,0,0,0,0.916666666666667,0.0833333333333333,1,1,125000,0,1,0,0
826035,"b","2009-01-28",1,0,"01",1,30,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0
826035,"m","2016-04-13",1,0,"01",1,8,53,0,0,0,0,0,0.125,0.375,0,0.125,0.125,0.125,0.125,0,0.125,0.875,0,0,0,0,0,0.125,0.125,0.625,0.125,0.75,1,38000,0,0,0,1
826042,"m","2015-10-22",0,0,"00",1,6,26,0,0,0,0,0,0,0.833333333333333,0,0,0.166666666666667,0,0.166666666666667,0,0.5,0.5,0,0,0,0,0,0,0,0.666666666666667,0.333333333333333,0.75,0.833333333333333,20000,0,1,0,0
826059,"b","2009-10-13",1,0,"01",1,75,378,0,0.24,0.666666666666667,0,0.253333333333333,0,0.12,0,0.32,0,0,0.32,0,0.0133333333333333,0.24,0.04,0.706666666666667,0,0,0.373333333333333,0.106666666666667,0.52,0,0,0,0,0,0,0,0,0
826059,"m","2016-04-15",1,0,"01",1,11,68,0,0,0,0,0.181818181818182,0.454545454545455,0.363636363636364,0,0.545454545454545,0.181818181818182,0.0909090909090909,0.0909090909090909,0,0.727272727272727,0.272727272727273,0,0,0,0,0,0.0909090909090909,0,0.818181818181818,0.0909090909090909,0.5,0.5,38000,0,1,0,0
826066,"b","2009-05-28",1,0,"01",1,119,546,0.0168067226890756,0.151260504201681,0.428571428571429,0,0.159663865546218,0,0.697478991596639,0,0.235294117647059,0,0.00840336134453781,0.235294117647059,0,0.0672268907563025,0.411764705882353,0.0504201680672269,0.470588235294118,0,0,0.226890756302521,0.176470588235294,0.596638655462185,0,0,0,0,0,0,0,0,0
826066,"m","2015-10-20",1,0,"01",1,11,53,0.181818181818182,0,0,0.0909090909090909,0,0.181818181818182,0.545454545454545,0,0,0.363636363636364,0.181818181818182,0.181818181818182,0,0,1,0,0,0,0,0,0,0.181818181818182,0.727272727272727,0.0909090909090909,0.5,0.666666666666667,150000,0,0,1,0
826073,"b","2009-07-05",1,0,"01",1,48,256,0.0416666666666667,0.229166666666667,0.5,0,0.229166666666667,0,0.9375,0,0.166666666666667,0,0,0.166666666666667,0,0.0625,0.145833333333333,0.0625,0.729166666666667,0,0,0,0.1875,0.8125,0,0,0,0,0,0,0,0,0
826073,"m","2016-11-16",1,0,"01",1,19,138,0,0,0,0,0,0.157894736842105,0.263157894736842,0,0.631578947368421,0.0526315789473684,0.0526315789473684,0.0526315789473684,0.157894736842105,0.421052631578947,0.578947368421053,0,0,0,0,0,0.0526315789473684,0.105263157894737,0.789473684210526,0.0526315789473684,1,0.75,111000,0,0,1,0
